SourceFile,TargetFile
Jolt/Physics/Collision/Shape/ConvexShape.cpp,Jolt/Physics/Collision/Shape/GetTrianglesContext.h
Jolt/Physics/Collision/Shape/MeshShape.cpp,Jolt/Physics/Collision/CastSphereVsTriangles.h
Jolt/Compute/MTL/ComputeBufferMTL.h,Jolt/Compute/MTL/ComputeSystemMTL.h
Jolt/Physics/Character/CharacterVirtual.h,Jolt/Physics/Body/MotionType.h
Jolt/Physics/Collision/Shape/TriangleShape.cpp,Jolt/Geometry/RayTriangle.h
Jolt/Compute/VK/ComputeQueueVK.h,Jolt/Compute/VK/ComputeShaderVK.h
Jolt/Compute/DX12/ComputeSystemDX12.cpp,Jolt/Compute/DX12/ComputeSystemDX12.h
Jolt/Physics/Body/BodyManager.cpp,Jolt/Physics/Body/BodyLock.h
Jolt/Physics/Constraints/PointConstraint.cpp,Jolt/Core/StreamOut.h
Jolt/ObjectStream/SerializableAttributeTyped.h,Jolt/ObjectStream/GetPrimitiveTypeOfType.h
Jolt/TriangleSplitter/TriangleSplitterBinning.cpp,Jolt/Jolt.h
Jolt/Core/StreamWrapper.h,Jolt/Core/StreamIn.h
Jolt/Physics/Collision/Shape/BoxShape.h,Jolt/Physics/PhysicsSettings.h
Jolt/Shaders/HairWrapper.cpp,HairUpdateVelocityIntegrateBindings.h
Jolt/Compute/ComputeQueue.h,Jolt/Core/Reference.h
Jolt/Core/LinearCurve.cpp,Jolt/ObjectStream/TypeDeclarations.h
Jolt/Physics/Collision/CastResult.h,Jolt/Physics/Collision/Shape/SubShapeID.h
Jolt/Shaders/HairWrapper.cpp,HairGridClearBindings.h
Jolt/Physics/Collision/CollideSphereVsTriangles.cpp,Jolt/Physics/Collision/NarrowPhaseStats.h
Jolt/Physics/Collision/Shape/CylinderShape.cpp,Jolt/ObjectStream/TypeDeclarations.h
Jolt/Physics/Constraints/SwingTwistConstraint.cpp,Jolt/ObjectStream/TypeDeclarations.h
Jolt/Physics/Body/BodyCreationSettings.h,Jolt/Physics/Collision/ObjectLayer.h
Jolt/Physics/Collision/Shape/TaperedCylinderShape.cpp,Jolt/Physics/Collision/Shape/TaperedCylinderShape.h
Jolt/Compute/DX12/ComputeSystemDX12Impl.cpp,d3d12sdklayers.h
Jolt/Core/Core.h,immintrin.h
Jolt/Physics/Character/CharacterVirtual.cpp,Jolt/Physics/Collision/Shape/RotatedTranslatedShape.h
Jolt/Physics/Body/BodyCreationSettings.h,Jolt/Physics/Body/AllowedDOFs.h
Jolt/Physics/SoftBody/SoftBodyMotionProperties.cpp,Jolt/Physics/SoftBody/SoftBodyCreationSettings.h
Jolt/Physics/Collision/CastConvexVsTriangles.cpp,Jolt/Physics/Collision/CastConvexVsTriangles.h
Jolt/Physics/Collision/Shape/TaperedCylinderShape.cpp,Jolt/Jolt.h
Jolt/Physics/Vehicle/VehicleTrack.cpp,Jolt/Physics/Vehicle/VehicleTrack.h
Jolt/Physics/Collision/TransformedShape.cpp,Jolt/Physics/Collision/CollisionDispatch.h
Jolt/Core/Mutex.h,Jolt/Core/Profiler.h
Jolt/Physics/Constraints/ConeConstraint.cpp,Jolt/Physics/Body/Body.h
Jolt/Core/Core.h,intrin.h
Jolt/Core/JobSystemThreadPool.cpp,Jolt/Core/Profiler.h
Jolt/Physics/Constraints/SpringSettings.cpp,Jolt/ObjectStream/TypeDeclarations.h
Jolt/Physics/Body/BodyLockInterface.h,Jolt/Physics/PhysicsLock.h
Jolt/Math/Matrix.h,Jolt/Math/GaussianElimination.h
Jolt/Physics/Collision/CastSphereVsTriangles.cpp,Jolt/Physics/Collision/Shape/SphereShape.h
Jolt/Geometry/ConvexHullBuilder.cpp,Jolt/Renderer/DebugRenderer.h
Jolt/Core/JobSystemSingleThreaded.h,Jolt/Core/JobSystem.h
Jolt/Core/Semaphore.h,mutex
Jolt/Physics/Vehicle/TrackedVehicleController.h,Jolt/Physics/Vehicle/VehicleTrack.h
